"Sociedad","Periodo","Ejercicio","NªDocumento SAP","Division","Fecha Contable","Tip.Document","Tip.Comproba","  Numero Factura","Cod.Proveedor SAP","Nombre Proveedor","Pais Provee","      CUIT"," Importe Factura"," Percepción IIBB","Total Otros Impues"," Tasa IVA","   Importe IVA","Exento 7 No Imponi","Importe Percepción","Importe Ret. IVA T","Moneda"
"  AR01","6","2022","1100003766","160","2010","     FA","     A","1","40240","MAILCAR SRL","    AR","30705463367","3936","28","28","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100003837","160","2010","     FA","     A","2","33525","CERVECERIA Y MALT.QUILMES S.A.","    AR","33508358259","10016","241","241","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100005716","5433","2010","     FA","     A","3","33957","COCA COLA FEMSA DE BS AS S.A.","    AR","30525390086","69863","1,670.00","1,670.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006027","160","2010","     FA","     A","4","33991","TAMALLANCOS S.A.","    AR","33643235949","5844","48","48","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006047","5430","2010","     FA","     A","5","33979","PASTA FACTORY S.A.","    AR","30661070559","3692","89","89","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006048","5435","2010","     FA","     A","6","33979","PASTA FACTORY S.A.","    AR","30661070559","27906","675","675","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006049","5435","2010","     FA","     A","7","33979","PASTA FACTORY S.A.","    AR","30661070559","10694","259","259","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006050","162","2010","     FA","     A","8","33979","PASTA FACTORY S.A.","    AR","30661070559","5516","133","133","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006051","160","2010","     FA","     A","9","33979","PASTA FACTORY S.A.","    AR","30661070559","7802","189","189","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006052","161","2010","     FA","     A","10","33979","PASTA FACTORY S.A.","    AR","30661070559","7476","181","181","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006053","160","2010","     FA","     A","11","33979","PASTA FACTORY S.A.","    AR","30661070559","3208","78","78","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006054","5430","2010","     FA","     A","12","33979","PASTA FACTORY S.A.","    AR","30661070559","3236","78","78","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006055","162","2010","     FA","     A","13","33979","PASTA FACTORY S.A.","    AR","30661070559","3989","97","97","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006056","5433","2010","     FA","     A","14","33979","PASTA FACTORY S.A.","    AR","30661070559","8436","204","204","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006057","5435","2010","     FA","     A","15","33979","PASTA FACTORY S.A.","    AR","30661070559","6430","156","156","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006058","5433","2010","     FA","     A","16","33979","PASTA FACTORY S.A.","    AR","30661070559","8541","207","207","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006090","162","2010","     FA","     A","17","34040","VOLF S.A","    AR","30504363879","28596","234","234","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006112","5433","2010","     FA","     A","18","34054","OTI ALIMENTOS S.A.","    AR","33707336469","18196","155","155","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006113","5433","2010","     FA","     A","19","34054","OTI ALIMENTOS S.A.","    AR","33707336469","8736","74","74","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006114","5433","2010","     FA","     A","20","34054","OTI ALIMENTOS S.A.","    AR","33707336469","14762","126","126","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006115","5433","2010","     FA","     A","21","34054","OTI ALIMENTOS S.A.","    AR","33707336469","15543","133","133","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006117","5435","2010","     FA","     A","22","34054","OTI ALIMENTOS S.A.","    AR","33707336469","6802","61","61","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006118","5435","2010","     FA","     A","23","34054","OTI ALIMENTOS S.A.","    AR","33707336469","13268","109","109","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006119","5435","2010","     FA","     A","24","34054","OTI ALIMENTOS S.A.","    AR","33707336469","20069","170","170","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006120","5435","2010","     FA","     A","25","34054","OTI ALIMENTOS S.A.","    AR","33707336469","25778","223","223","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006121","5435","2010","     FA","     A","26","34054","OTI ALIMENTOS S.A.","    AR","33707336469","8195","74","74","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006122","5430","2010","     FA","     A","27","34054","OTI ALIMENTOS S.A.","    AR","33707336469","11150","100","100","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006123","5430","2010","     FA","     A","28","34054","OTI ALIMENTOS S.A.","    AR","33707336469","18910","166","166","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006124","5430","2010","     FA","     A","29","34054","OTI ALIMENTOS S.A.","    AR","33707336469","10614","87","87","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006142","162","2010","     FA","     A","30","33991","TAMALLANCOS S.A.","    AR","33643235949","39662","325","325","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006151","5435","2010","     FA","     A","31","33991","TAMALLANCOS S.A.","    AR","33643235949","41944","344","344","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006173","161","2010","     FA","     A","32","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","10137","83","83","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006175","162","2010","     FA","     A","33","33987","SERVIFRIO S.A.","    AR","30699661054","15888","130","130","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006176","162","2010","     FA","     A","34","33996","ICEDREAM SRL","    AR","30657813865","13150","318","318","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006178","161","2010","     FA","     A","35","33987","SERVIFRIO S.A.","    AR","30699661054","15960","133","133","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006179","161","2010","     FA","     A","36","33987","SERVIFRIO S.A.","    AR","30699661054","23240","190","190","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006185","5433","2010","     FA","     A","37","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","30026","246","246","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006186","5433","2010","     FA","     A","38","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","11660","97","97","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006187","5433","2010","     FA","     A","39","33987","SERVIFRIO S.A.","    AR","30699661054","45906","378","378","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006188","5433","2010","     FA","     A","40","33987","SERVIFRIO S.A.","    AR","30699661054","19356","159","159","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006189","5433","2010","     FA","     A","41","33996","ICEDREAM SRL","    AR","30657813865","36801","890","890","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006190","5433","2010","     FA","     A","42","33996","ICEDREAM SRL","    AR","30657813865","40225","973","973","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006194","5435","2010","     FA","     A","43","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9946","84","84","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006195","5435","2010","     FA","     A","44","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","32225","264","264","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006196","5435","2010","     FA","     A","45","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","9180","77","77","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006197","5435","2010","     FA","     A","46","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","16597","139","139","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006198","5435","2010","     FA","     A","47","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","14440","118","118","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006199","5435","2010","     FA","     A","48","33987","SERVIFRIO S.A.","    AR","30699661054","755","6","6","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006200","5435","2010","     FA","     A","49","33987","SERVIFRIO S.A.","    AR","30699661054","28522","234","234","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006201","5435","2010","     FA","     A","50","33987","SERVIFRIO S.A.","    AR","30699661054","49668","410","410","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006202","5430","2010","     FA","     A","51","33987","SERVIFRIO S.A.","    AR","30699661054","6999","61","61","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006203","5430","2010","     FA","     A","52","33996","ICEDREAM SRL","    AR","30657813865","12229","296","296","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006205","5430","2010","     FA","     A","53","33996","ICEDREAM SRL","    AR","30657813865","9429","228","228","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006207","5430","2010","     FA","     A","54","33996","ICEDREAM SRL","    AR","30657813865","23122","559","559","0","0","-0.01","0","0"," ARS"
"  AR01","6","2022","1100006208","5430","2010","     FA","     A","55","33987","SERVIFRIO S.A.","    AR","30699661054","8912","73","73","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006209","5430","2010","     FA","     A","56","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","734","6","6","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006213","5430","2010","     FA","     A","57","33987","SERVIFRIO S.A.","    AR","30699661054","5804","48","48","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006214","5430","2010","     FA","     A","58","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","6967","58","58","0","0","0.01","0","0"," ARS"
"  AR01","6","2022","1100006215","5430","2010","     FA","     A","59","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","5870","50","50","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006216","5430","2010","     FA","     A","60","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","28952","237","237","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006217","5430","2010","     FA","     A","61","33987","SERVIFRIO S.A.","    AR","30699661054","22767","187","187","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006218","5430","2010","     FA","     A","62","33987","SERVIFRIO S.A.","    AR","30699661054","18936","155","155","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006219","161","2010","     FA","     A","63","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","3502","29","29","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006220","161","2010","     FA","     A","64","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","2593","21","21","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006253","160","2010","     FA","     A","65","33991","TAMALLANCOS S.A.","    AR","33643235949","2440","20","20","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006300","5435","2010","     FA","     A","66","33525","CERVECERIA Y MALT.QUILMES S.A.","    AR","33508358259","21239","511","511","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006303","5435","2010","     FA","     A","67","33996","ICEDREAM SRL","    AR","30657813865","56461","1,366.00","1,366.00","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006304","5435","2010","     FA","     A","68","33996","ICEDREAM SRL","    AR","30657813865","14843","359","359","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006305","5435","2010","     FA","     A","69","33971","DISTRIBUIDORA BLANCALUNA SA","    AR","30690172239","2989","25","25","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006807","164","2010","     FA","     A","70","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","37580","308","308","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006808","164","2010","     FA","     A","71","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","37580","308","308","0","0","0","0","0"," ARS"
"  AR01","6","2022","1100006809","160","2010","     FA","     A","72","33994","THYSSENKRUPP ELEVADORES S.A. A","    AR","30683076755","50792","416","416","0","0","0","0","0"," ARS"
